date,open,high,low,close,volume
2024-12-19,159.8000,159.8400,151.8600,154.0900,2559400
2024-12-18,169.5800,171.8400,158.1200,158.3600,2803100
2024-12-17,164.2300,171.5400,164.1600,170.8800,1801500
2024-12-16,164.8900,166.5500,163.4200,165.3200,1410000
2024-12-13,164.5200,165.6800,161.5600,163.2200,1426400
2024-12-12,165.0100,167.8000,163.6500,164.1700,1846200
2024-12-11,164.0200,166.9300,161.5500,166.3100,1783500
2024-12-10,162.4000,165.3800,159.6800,160.8100,2764800
2024-12-09,167.5000,167.7050,161.0600,163.4200,1856700
2024-12-06,164.5700,170.7500,164.1400,167.5500,1866100
2024-12-05,159.2100,161.9100,158.4900,160.0800,2195500
2024-12-04,158.8300,162.8300,157.8800,159.6300,2678700
2024-12-03,158.1500,159.6000,156.2300,157.4700,2639800
2024-12-02,162.1100,162.9500,156.4500,158.6700,3984100
2024-11-29,158.3400,162.9900,157.9000,161.8400,2661900
2024-11-28,157.7100,158.8600,157.5600,158.2700,386400
2024-11-27,156.5000,158.1800,155.7600,157.8000,1741400
2024-11-26,153.7500,160.3400,153.7500,157.6700,4179700
2024-11-25,152.0000,157.1700,151.8600,155.2600,3671200
2024-11-22,149.6000,150.0200,147.2900,149.4800,1493500
2024-11-21,144.8100,150.8700,144.0300,148.8100,2130600
2024-11-20,146.7100,146.9200,143.7600,145.3400,1412200
2024-11-19,145.7200,147.1800,144.2800,145.9900,2288800
2024-11-18,153.2000,153.5800,148.3900,148.4900,1902000
2024-11-15,150.5000,153.3600,148.4000,152.8700,1907800
2024-11-14,160.8000,161.1000,152.8600,153.4300,2629600
2024-11-13,149.6000,161.8600,148.3600,161.2000,3756200
2024-11-12,149.5000,159.5500,147.2600,152.2600,6324600
2024-11-11,124.0000,128.2600,123.7300,125.3700,3503200
2024-11-08,118.9000,121.4000,118.5400,121.2500,2519700
2024-11-07,114.6100,118.8800,114.3100,118.6800,1715900
2024-11-06,113.9900,114.4500,111.7000,114.2200,1960800
2024-11-05,108.8700,110.7800,108.5000,110.1400,1073400
2024-11-04,109.7600,109.9800,108.0000,109.0600,2879400
2024-11-01,110.0000,111.2300,108.5400,110.2600,1859700
2024-10-31,110.5500,111.7900,107.5300,108.9200,3506300
2024-10-30,111.4400,112.0300,110.3900,111.2500,1791500
2024-10-29,110.3900,112.4100,110.1500,112.0500,1754100
2024-10-28,110.4400,111.3300,110.1800,110.9700,3697400
2024-10-25,110.6300,112.2000,109.4500,109.8400,1628400
2024-10-24,110.6000,111.2200,109.2700,110.5700,1821800
2024-10-23,112.4100,113.3500,109.6000,110.1800,1293800
2024-10-22,112.9100,114.1300,112.1400,112.7900,1321100
2024-10-21,113.4000,115.0900,112.5700,114.3500,1213000
2024-10-18,113.5000,114.4600,113.2200,114.2000,1870400
2024-10-17,114.0000,114.6600,111.8700,112.6500,1265900
2024-10-16,112.9800,113.2300,110.6900,112.5200,1867600
2024-10-15,115.3300,115.6900,111.1500,112.9800,2059800
2024-10-11,113.0000,115.9300,112.6000,114.5900,2009600
2024-10-10,113.5100,115.0400,113.3000,113.8100,1524600
2024-10-09,113.0200,115.1000,113.0200,114.4000,2649700
2024-10-08,110.6700,113.5700,110.6700,112.7600,4256800
2024-10-07,111.2600,111.6400,109.4500,110.1900,3953500
